product;country;p;d;q;P;D;Q;S
cruiser;DE;0;1;0;0;1;2;12
cruiser;ES;0;1;0;2;1;1;12
cruiser;FR;0;1;0;0;1;0;12
cruiser;IT;0;1;0;0;1;0;12
cruiser;GB;0;1;0;0;1;2;12
