product;country;p;d;q;P;D;Q;S
offroad;DE;0;1;0;0;1;1;12
offroad;ES;0;1;1;0;1;1;12
offroad;FR;0;1;0;2;1;0;12
offroad;IT;1;1;0;2;1;0;12
offroad;GB;0;1;0;0;1;1;12
