product;country;p;d;q;P;D;Q;S
touring;DE;0;1;0;1;1;1;12
touring;ES;0;1;1;0;1;0;12
touring;FR;3;1;2;0;1;0;12
touring;IT;0;1;0;0;1;0;12
touring;GB;0;1;0;1;1;1;12
