Date;Country;Sales_C3;Market;SegmentMix
2018-09-01;DE;971;268239;10.1503
2018-10-01;DE;1051;290251;10.1503
2018-11-01;DE;1056;291823;10.1503
2018-12-01;DE;859;237195;10.1503
2019-01-01;DE;730;266047;9.3619
2019-02-01;DE;724;263660;9.3619
2019-03-01;DE;975;355136;9.3619
2019-04-01;DE;903;328763;9.3619
2019-05-01;DE;926;337150;9.3619
2019-06-01;DE;882;321282;9.3619
2019-07-01;DE;903;329019;9.3619
2019-08-01;DE;691;251826;9.3619
2019-09-01;DE;812;295715;9.3619
2019-10-01;DE;835;304055;9.3619
2019-11-01;DE;801;291831;9.3619
2019-12-01;DE;721;262656;9.3619
2020-01-01;DE;730;266047;9.3619
2020-02-01;DE;724;263660;9.3619
2020-03-01;DE;975;355136;9.3619
2020-04-01;DE;903;328763;9.3619
2020-05-01;DE;926;337150;9.3619
2020-06-01;DE;882;321282;9.3619
2020-07-01;DE;903;329019;9.3619
2020-08-01;DE;691;251826;9.3619
2020-09-01;DE;812;295715;9.3619
2020-10-01;DE;835;304055;9.3619
2020-11-01;DE;801;291831;9.3619
2020-12-01;DE;721;262656;9.3619
2021-01-01;DE;0;219680;9.0231
2021-02-01;DE;0;237596;9.0231
2021-03-01;DE;0;305423;9.0231
2021-04-01;DE;0;271708;9.0231
2021-05-01;DE;0;272450;9.0231
2021-06-01;DE;0;307538;9.0231
2021-07-01;DE;0;242636;9.0231
2021-08-01;DE;0;144478;9.0231
2021-09-01;DE;0;240475;9.0231
2021-10-01;DE;0;254066;9.0231
2021-11-01;DE;0;226832;9.0231
2021-12-01;DE;0;277119;9.0231
2022-01-01;DE;0;232422;9.8397
2022-02-01;DE;0;251377;9.8397
2022-03-01;DE;0;323138;9.8397
2022-04-01;DE;0;287467;9.8397
2022-05-01;DE;0;288252;9.8397
2022-06-01;DE;0;325375;9.8397
2022-07-01;DE;0;256709;9.8397
2022-08-01;DE;0;152857;9.8397
2022-09-01;DE;0;254422;9.8397
2022-10-01;DE;0;268802;9.8397
2022-11-01;DE;0;239988;9.8397
2022-12-01;DE;0;293192;9.8397
2023-01-01;DE;0;234399;9.655
2023-02-01;DE;0;253515;9.655
2023-03-01;DE;0;325887;9.655
2023-04-01;DE;0;289912;9.655
2023-05-01;DE;0;290704;9.655
2023-06-01;DE;0;328143;9.655
2023-07-01;DE;0;258892;9.655
2023-08-01;DE;0;154158;9.655
2023-09-01;DE;0;256586;9.655
2023-10-01;DE;0;271088;9.655
2023-11-01;DE;0;242030;9.655
2023-12-01;DE;0;295686;9.655
2024-01-01;DE;0;237474;9.8579
2024-02-01;DE;0;256841;9.8579
2024-03-01;DE;0;330162;9.8579
2024-04-01;DE;0;293716;9.8579
2024-05-01;DE;0;294518;9.8579
2024-06-01;DE;0;332449;9.8579
2024-07-01;DE;0;262289;9.8579
2024-08-01;DE;0;156180;9.8579
2024-09-01;DE;0;259953;9.8579
2024-10-01;DE;0;274645;9.8579
2024-11-01;DE;0;245206;9.8579
2024-12-01;DE;0;299566;9.8579
2025-01-01;DE;0;228687;10.1637
2025-02-01;DE;0;247338;10.1637
2025-03-01;DE;0;317946;10.1637
2025-04-01;DE;0;282848;10.1637
2025-05-01;DE;0;283620;10.1637
2025-06-01;DE;0;320147;10.1637
2025-07-01;DE;0;252584;10.1637
2025-08-01;DE;0;150401;10.1637
2025-09-01;DE;0;250334;10.1637
2025-10-01;DE;0;264483;10.1637
2025-11-01;DE;0;236132;10.1637
2025-12-01;DE;0;288481;10.1637
2026-01-01;DE;0;229200;10.4204
2026-02-01;DE;0;247892;10.4204
2026-03-01;DE;0;318658;10.4204
2026-04-01;DE;0;283482;10.4204
2026-05-01;DE;0;284256;10.4204
2026-06-01;DE;0;320865;10.4204
2026-07-01;DE;0;253150;10.4204
2026-08-01;DE;0;150738;10.4204
2026-09-01;DE;0;250895;10.4204
2026-10-01;DE;0;265076;10.4204
2026-11-01;DE;0;236662;10.4204
2026-12-01;DE;0;289128;10.4204
2027-01-01;DE;0;225392;9.8554
2027-02-01;DE;0;243774;9.8554
2027-03-01;DE;0;313364;9.8554
2027-04-01;DE;0;278772;9.8554
2027-05-01;DE;0;279533;9.8554
2027-06-01;DE;0;315534;9.8554
2027-07-01;DE;0;248944;9.8554
2027-08-01;DE;0;148234;9.8554
2027-09-01;DE;0;246727;9.8554
2027-10-01;DE;0;260672;9.8554
2027-11-01;DE;0;232730;9.8554
2027-12-01;DE;0;284324;9.8554
2007-01-01;ES;2277;117847;22.7234
2007-02-01;ES;2626;135913;22.7234
2007-03-01;ES;3415;176748;22.7234
2007-04-01;ES;2404;124430;22.7234
2007-05-01;ES;3200;165606;22.7234
2007-06-01;ES;3459;179023;22.7234
2007-07-01;ES;2858;147905;22.7234
2007-08-01;ES;1750;90594;22.7234
2007-09-01;ES;2015;104285;22.7234
2007-10-01;ES;2339;121060;22.7234
2007-11-01;ES;2450;126792;22.7234
2007-12-01;ES;2408;124631;22.7234
2008-01-01;ES;1239;84740;22.683
2008-02-01;ES;1429;97730;22.683
2008-03-01;ES;1858;127094;22.683
2008-04-01;ES;1308;89474;22.683
2008-05-01;ES;1741;119082;22.683
2008-06-01;ES;1882;128730;22.683
2008-07-01;ES;1555;106354;22.683
2008-08-01;ES;952;65143;22.683
2008-09-01;ES;1096;74988;22.683
2008-10-01;ES;1272;87050;22.683
2008-11-01;ES;1333;91172;22.683
2008-12-01;ES;1310;89618;22.683
2009-01-01;ES;1041;69532;22.8942
2009-02-01;ES;1201;80191;22.8942
2009-03-01;ES;1561;104285;22.8942
2009-04-01;ES;1099;73416;22.8942
2009-05-01;ES;1463;97711;22.8942
2009-06-01;ES;1581;105627;22.8942
2009-07-01;ES;1307;87267;22.8942
2009-08-01;ES;800;53452;22.8942
2009-09-01;ES;921;61530;22.8942
2009-10-01;ES;1069;71427;22.8942
2009-11-01;ES;1120;74810;22.8942
2009-12-01;ES;1101;73535;22.8942
2010-01-01;ES;1229;71666;22.9214
2010-02-01;ES;1417;82652;22.9214
2010-03-01;ES;1843;107485;22.9214
2010-04-01;ES;1298;75670;22.9214
2010-05-01;ES;1727;100710;22.9214
2010-06-01;ES;1867;108869;22.9214
2010-07-01;ES;1542;89945;22.9214
2010-08-01;ES;945;55093;22.9214
2010-09-01;ES;1087;63419;22.9214
2010-10-01;ES;1262;73620;22.9214
2010-11-01;ES;1322;77106;22.9214
2010-12-01;ES;1300;75792;22.9214
2011-01-01;ES;845;58970;20.7894
2011-02-01;ES;975;68010;20.7894
2011-03-01;ES;1268;88443;20.7894
2011-04-01;ES;893;62264;20.7894
2011-05-01;ES;1188;82868;20.7894
2011-06-01;ES;1284;89582;20.7894
2011-07-01;ES;1061;74011;20.7894
2011-08-01;ES;650;45333;20.7894
2011-09-01;ES;748;52184;20.7894
2011-10-01;ES;868;60577;20.7894
2011-11-01;ES;909;63446;20.7894
2011-12-01;ES;894;62364;20.7894
2012-01-01;ES;935;51054;21.2966
2012-02-01;ES;1078;58881;21.2966
2012-03-01;ES;1402;76572;21.2966
2012-04-01;ES;987;53907;21.2966
2012-05-01;ES;1314;71745;21.2966
2012-06-01;ES;1420;77557;21.2966
2012-07-01;ES;1173;64077;21.2966
2012-08-01;ES;719;39248;21.2966
2012-09-01;ES;827;45179;21.2966
2012-10-01;ES;960;52446;21.2966
2012-11-01;ES;1006;54930;21.2966
2012-12-01;ES;989;53993;21.2966
2013-01-01;ES;596;52740;21.3428
2013-02-01;ES;688;60825;21.3428
2013-03-01;ES;894;79100;21.3428
2013-04-01;ES;629;55687;21.3428
2013-05-01;ES;838;74114;21.3428
2013-06-01;ES;906;80118;21.3428
2013-07-01;ES;748;66192;21.3428
2013-08-01;ES;458;40544;21.3428
2013-09-01;ES;528;46671;21.3428
2013-10-01;ES;612;54178;21.3428
2013-11-01;ES;641;56743;21.3428
2013-12-01;ES;630;55776;21.3428
2014-01-01;ES;801;62418;20.4636
2014-02-01;ES;924;71987;20.4636
2014-03-01;ES;1201;93616;20.4636
2014-04-01;ES;846;65905;20.4636
2014-05-01;ES;1125;87714;20.4636
2014-06-01;ES;1217;94821;20.4636
2014-07-01;ES;1005;78339;20.4636
2014-08-01;ES;616;47984;20.4636
2014-09-01;ES;709;55235;20.4636
2014-10-01;ES;823;64120;20.4636
2014-11-01;ES;862;67156;20.4636
2014-12-01;ES;847;66012;20.4636
2015-01-01;ES;835;75476;18.8022
2015-02-01;ES;964;87046;18.8022
2015-03-01;ES;1253;113199;18.8022
2015-04-01;ES;882;79692;18.8022
2015-05-01;ES;1174;106064;18.8022
2015-06-01;ES;1269;114656;18.8022
2015-07-01;ES;1049;94727;18.8022
2015-08-01;ES;642;58022;18.8022
2015-09-01;ES;739;66790;18.8022
2015-10-01;ES;858;77533;18.8022
2015-11-01;ES;899;81205;18.8022
2015-12-01;ES;884;79821;18.8022
2016-01-01;ES;924;83706;18.4072
2016-02-01;ES;1066;96538;18.4072
2016-03-01;ES;1386;125543;18.4072
2016-04-01;ES;976;88382;18.4072
2016-05-01;ES;1299;117629;18.4072
2016-06-01;ES;1404;127159;18.4072
2016-07-01;ES;1160;105056;18.4072
2016-08-01;ES;711;64349;18.4072
2016-09-01;ES;818;74073;18.4072
2016-10-01;ES;950;85988;18.4072
2016-11-01;ES;994;90060;18.4072
2016-12-01;ES;978;88525;18.4072
2017-01-01;ES;1458;90123;18.5265
2017-02-01;ES;1681;103938;18.5265
2017-03-01;ES;2187;135167;18.5265
2017-04-01;ES;1539;95157;18.5265
2017-05-01;ES;2049;126646;18.5265
2017-06-01;ES;2215;136906;18.5265
2017-07-01;ES;1830;113109;18.5265
2017-08-01;ES;1121;69281;18.5265
2017-09-01;ES;1290;79751;18.5265
2017-10-01;ES;1498;92579;18.5265
2017-11-01;ES;1569;96963;18.5265
2017-12-01;ES;1542;95311;18.5265
2018-01-01;ES;1569;99845;17.1514
2018-02-01;ES;1708;108728;17.1514
2018-03-01;ES;2024;128841;17.1514
2018-04-01;ES;1861;118487;17.1514
2018-05-01;ES;2101;133723;17.1514
2018-06-01;ES;2182;138883;17.1514
2018-07-01;ES;1972;125559;17.1514
2018-08-01;ES;1152;73361;17.1514
2018-09-01;ES;1271;80878;17.1514
2018-10-01;ES;1603;102018;17.1514
2018-11-01;ES;1621;103194;17.1514
2018-12-01;ES;1695;107920;17.1514
2019-01-01;ES;1639;95383;15.6797
2019-02-01;ES;1780;103548;15.6797
2019-03-01;ES;2103;122356;15.6797
2019-04-01;ES;1958;113903;15.6797
2019-05-01;ES;2202;128106;15.6797
2019-06-01;ES;2183;127001;15.6797
2019-07-01;ES;2161;125710;15.6797
2019-08-01;ES;1154;67155;15.6797
2019-09-01;ES;1399;81424;15.6797
2019-10-01;ES;1751;101905;15.6797
2019-11-01;ES;1620;94263;15.6797
2019-12-01;ES;1694;98566;15.6797
2020-01-01;ES;1639;95383;15.6797
2020-02-01;ES;1780;103548;15.6797
2020-03-01;ES;2103;122356;15.6797
2020-04-01;ES;1958;113903;15.6797
2020-05-01;ES;2202;128106;15.6797
2020-06-01;ES;2183;127001;15.6797
2020-07-01;ES;2161;125710;15.6797
2020-08-01;ES;1154;67155;15.6797
2020-09-01;ES;1399;81424;15.6797
2020-10-01;ES;1751;101905;15.6797
2020-11-01;ES;1620;94263;15.6797
2020-12-01;ES;1694;98566;15.6797
2021-01-01;ES;0;77443;14.2443
2021-02-01;ES;0;76749;14.2443
2021-03-01;ES;0;103376;14.2443
2021-04-01;ES;0;95699;14.2443
2021-05-01;ES;0;98141;14.2443
2021-06-01;ES;0;93522;14.2443
2021-07-01;ES;0;95774;14.2443
2021-08-01;ES;0;73304;14.2443
2021-09-01;ES;0;86080;14.2443
2021-10-01;ES;0;88507;14.2443
2021-11-01;ES;0;84949;14.2443
2021-12-01;ES;0;76456;14.2443
2022-01-01;ES;0;89171;12.0325
2022-02-01;ES;0;88370;12.0325
2022-03-01;ES;0;119030;12.0325
2022-04-01;ES;0;110191;12.0325
2022-05-01;ES;0;113002;12.0325
2022-06-01;ES;0;107684;12.0325
2022-07-01;ES;0;110277;12.0325
2022-08-01;ES;0;84404;12.0325
2022-09-01;ES;0;99115;12.0325
2022-10-01;ES;0;101910;12.0325
2022-11-01;ES;0;97813;12.0325
2022-12-01;ES;0;88034;12.0325
2023-01-01;ES;0;91014;11.337
2023-02-01;ES;0;90198;11.337
